Date,Open,High,Low,Close
2015-11-27,1.06436,1.069,1.0565,1.05874
2015-11-20,1.0736,1.0763,1.0615,1.06419
2015-11-13,1.07304,1.08303,1.0671,1.0772
2015-11-06,1.10322,1.1053,1.07051,1.07356
2015-10-30,1.10188,1.1096,1.0896,1.1011
2015-10-23,1.13521,1.13871,1.0995,1.1015
2015-10-16,1.13619,1.14952,1.1333,1.13473
2015-10-09,1.12152,1.13872,1.117,1.1355
2015-10-02,1.119,1.13184,1.1132,1.1207
2015-09-25,1.12943,1.13301,1.1102,1.1192
2015-09-18,1.1344,1.14602,1.1211,1.1308
2015-09-11,1.11452,1.13495,1.112,1.1339
2015-09-04,1.11977,1.13322,1.1085,1.1149
2015-08-28,1.1391,1.1714,1.11541,1.11798
2015-08-21,1.1105,1.1393,1.1015,1.13836
2015-08-14,1.0965,1.1214,1.0923,1.1104
2015-08-07,1.09754,1.09959,1.0846,1.09617
2015-07-31,1.0975,1.11294,1.0892,1.09804
2015-07-24,1.08385,1.10179,1.0807,1.098
2015-07-17,1.1119,1.11969,1.0824,1.0828
2015-07-10,1.10217,1.12159,1.0914,1.11516
2015-07-03,1.09901,1.12785,1.0967,1.1115
2015-06-26,1.13605,1.14103,1.1129,1.11617
2015-06-19,1.1226,1.14362,1.1186,1.135
2015-06-12,1.11079,1.13865,1.1081,1.12571
2015-06-05,1.09681,1.138,1.0885,1.11068
2015-05-29,1.10017,1.10097,1.0817,1.09908
2015-05-22,1.144,1.1447,1.0999,1.1002
2015-05-15,1.11967,1.14667,1.1128,1.1442
2015-05-08,1.11855,1.13917,1.1064,1.1192
2015-05-01,1.0865,1.129,1.0818,1.11958
2015-04-24,1.0794,1.09002,1.0658,1.08695
2015-04-17,1.06126,1.08487,1.0519,1.08051
2015-04-10,1.10019,1.10356,1.0566,1.05968
2015-04-03,1.08875,1.1027,1.0712,1.09635
2015-03-27,1.08391,1.10522,1.0766,1.08935
2015-03-20,1.0499,1.104,1.0476,1.08115
2015-03-13,1.08382,1.09065,1.0461,1.05
2015-03-06,1.11814,1.12405,1.08342,1.08455
2015-02-27,1.1379,1.13932,1.1173,1.11865
2015-02-20,1.13987,1.14501,1.12779,1.13793
2015-02-13,1.13122,1.14431,1.1267,1.13775
2015-02-06,1.13116,1.15338,1.129,1.13095
2015-01-30,1.1143,1.14225,1.10966,1.12859
2015-01-23,1.15636,1.16796,1.1113,1.12031
2015-01-16,1.18667,1.18709,1.1458,1.15689
2015-01-09,1.19453,1.19763,1.1752,1.18359
2015-01-02,1.21772,1.22209,1.19925,1.19965
2014-12-26,1.22204,1.22726,1.2162,1.2181
2014-12-19,1.24739,1.25699,1.22188,1.22255
2014-12-12,1.22847,1.24952,1.2245,1.246
2014-12-05,1.24462,1.25065,1.22697,1.2285
2014-11-28,1.23724,1.25316,1.2362,1.2451
2014-11-21,1.2529,1.3,1.2375,1.2387
2014-11-14,1.2472,1.2544,1.2394,1.2523
2014-11-07,1.2506,1.2572,1.2363,1.2452
2014-10-31,1.2673,1.2768,1.2489,1.2521
2014-10-24,1.2755,1.2838,1.2616,1.2669
2014-10-17,1.2628,1.2875,1.2625,1.2758
2014-10-10,1.2514,1.2788,1.2508,1.2627
2014-10-03,1.268,1.2713,1.25,1.2512
2014-09-26,1.2826,1.2898,1.2676,1.2683
2014-09-19,1.2968,1.2994,1.2828,1.2829
2014-09-12,1.2953,1.2977,1.2859,1.2961
2014-09-05,1.3129,1.3159,1.2922,1.2951
2014-08-29,1.3191,1.3217,1.3131,1.3133
2014-08-22,1.3391,1.3398,1.3223,1.3245
2014-08-15,1.3407,1.3414,1.3337,1.3398
2014-08-08,1.3426,1.3431,1.3333,1.341
2014-08-01,1.3429,1.3444,1.3368,1.343
2014-07-25,1.3526,1.3548,1.3422,1.3434
2014-07-18,1.3605,1.3639,1.3492,1.3524
2014-07-11,1.3593,1.365,1.3575,1.3605
2014-07-04,1.3644,1.3696,1.3585,1.3596
2014-06-27,1.3595,1.3649,1.3575,1.3647
2014-06-20,1.3538,1.3642,1.3513,1.36
2014-06-13,1.3645,1.3668,1.3512,1.3539
2014-06-06,1.3629,1.3674,1.3506,1.3641
2014-05-30,1.3624,1.3668,1.3587,1.3634
2014-05-23,1.3697,1.3734,1.3616,1.3627
2014-05-16,1.3756,1.3774,1.365,1.3692
2014-05-09,1.3873,1.399,1.3745,1.3751
2014-05-02,1.3839,1.3889,1.3788,1.3869
2014-04-25,1.3816,1.3853,1.3783,1.3831
2014-04-18,1.3856,1.3863,1.3793,1.3808
2014-04-11,1.37,1.3904,1.3695,1.3884
2014-04-04,1.3753,1.3817,1.3675,1.3706
2014-03-28,1.3798,1.3865,1.3706,1.3748
2014-03-21,1.3911,1.3945,1.3751,1.3793
2014-03-14,1.3871,1.3964,1.3835,1.3911
2014-03-07,1.3757,1.3913,1.371,1.3873
2014-02-28,1.3732,1.3823,1.3642,1.3797
2014-02-21,1.3707,1.3772,1.3688,1.3736
2014-02-14,1.3614,1.3713,1.3562,1.3691
2014-02-07,1.3481,1.3639,1.3476,1.3631
2014-01-31,1.3677,1.3712,1.3479,1.3487
2014-01-24,1.3537,1.3733,1.3507,1.3678
2014-01-17,1.3677,1.3696,1.3517,1.3537
2014-01-10,1.3591,1.3685,1.3552,1.3668
2014-01-03,1.3755,1.3819,1.3582,1.3586
2013-12-27,1.3671,1.3881,1.3655,1.3746
2013-12-20,1.3727,1.3804,1.3625,1.3668
2013-12-13,1.3713,1.3807,1.3694,1.374
2013-12-06,1.3586,1.3705,1.3524,1.3704
2013-11-29,1.3549,1.3621,1.3491,1.3586
2013-11-22,1.3496,1.3575,1.34,1.3557
2013-11-15,1.3357,1.3503,1.3343,1.3495
2013-11-08,1.3486,1.3544,1.3303,1.3369
2013-11-01,1.3806,1.3817,1.3478,1.3486
2013-10-25,1.3682,1.3831,1.3651,1.3803
2013-10-18,1.3556,1.3703,1.3474,1.3682
2013-10-11,1.3562,1.3605,1.3488,1.3545
2013-10-04,1.348,1.3644,1.3477,1.3556
2013-09-27,1.353,1.3563,1.3463,1.3522
2013-09-20,1.3366,1.3567,1.3325,1.3522
2013-09-13,1.3173,1.3324,1.3165,1.329
2013-09-06,1.3212,1.3225,1.3103,1.3177
2013-08-30,1.3382,1.3397,1.3179,1.3218
2013-08-23,1.3334,1.345,1.3298,1.3381
2013-08-16,1.3337,1.3378,1.3208,1.3328
2013-08-09,1.3279,1.3399,1.3234,1.3335
2013-08-02,1.3279,1.3343,1.319,1.3276
2013-07-26,1.3136,1.3294,1.3136,1.3275
2013-07-19,1.3067,1.317,1.2991,1.3139
2013-07-12,1.2822,1.3199,1.2757,1.3062
2013-07-05,1.3014,1.3077,1.2806,1.2827
2013-06-28,1.3104,1.315,1.2984,1.302
2013-06-21,1.3348,1.3415,1.3098,1.3115
2013-06-14,1.3203,1.339,1.3175,1.3345
2013-06-07,1.299,1.3305,1.2952,1.3216
2013-05-31,1.2934,1.3061,1.2837,1.2993
2013-05-24,1.2844,1.2998,1.2818,1.2932
2013-05-17,1.2977,1.3028,1.2795,1.2838
2013-05-10,1.3118,1.3194,1.2934,1.2992
2013-05-03,1.3059,1.3242,1.3029,1.3114
2013-04-26,1.3063,1.3093,1.2954,1.3029
2013-04-19,1.3104,1.3199,1.3,1.3053
2013-04-12,1.2992,1.3138,1.2967,1.3107
2013-04-05,1.2809,1.304,1.2746,1.2989
2013-03-29,1.2961,1.3048,1.275,1.2819
2013-03-22,1.2908,1.3076,1.2841,1.2988
2013-03-15,1.2995,1.3107,1.291,1.3076
2013-03-08,1.301,1.3134,1.2954,1.3001
2013-03-01,1.3215,1.3318,1.2965,1.302
2013-02-22,1.3346,1.3434,1.3144,1.3187
2013-02-15,1.3369,1.352,1.3305,1.3357
2013-02-08,1.3654,1.3658,1.335,1.3364
2013-02-01,1.3464,1.3711,1.3413,1.3639
2013-01-25,1.3308,1.3478,1.3262,1.3457
2013-01-18,1.3359,1.3404,1.3256,1.3313
2013-01-11,1.3075,1.3365,1.3015,1.3342
2013-01-04,1.3212,1.3299,1.2996,1.3066
2012-12-28,1.3174,1.3283,1.3164,1.3217
2012-12-21,1.3165,1.3308,1.3142,1.3187
2012-12-14,1.2888,1.3173,1.2884,1.316
2012-12-07,1.2982,1.3126,1.2875,1.2923
2012-11-30,1.2966,1.3027,1.2879,1.2985
2012-11-23,1.2747,1.299,1.2735,1.2976
2012-11-16,1.271,1.2802,1.2659,1.274
2012-11-09,1.2815,1.2876,1.2689,1.2709
2012-11-02,1.294,1.302,1.282,1.2841
2012-10-26,1.3023,1.3083,1.2881,1.2935
2012-10-19,1.2955,1.3139,1.2889,1.3022
2012-10-12,1.3022,1.3025,1.2824,1.2953
2012-10-05,1.2814,1.3071,1.2803,1.3029
2012-09-28,1.2979,1.298,1.2828,1.2857
